Date,SUM of Total Energy Savings (kWh),AVERAGE of Total Energy Saved (%),Carbon Savings (mt CO2)
10/24/2025,519.3,27%,0.11
10/25/2025,483.8,28%,0.10
10/26/2025,480.2,28%,0.10
10/27/2025,478.0,27%,0.10
10/28/2025,569.2,27%,0.12
10/29/2025,640.4,27%,0.13
10/30/2025,613.7,26%,0.13
10/31/2025,483.1,27%,0.10
11/1/2025,498.2,28%,0.10
11/2/2025,501.1,28%,0.10
11/3/2025,473.7,27%,0.10
11/4/2025,468.6,27%,0.10
11/5/2025,455.8,27%,0.09
11/6/2025,517.4,27%,0.11
11/7/2025,468.5,27%,0.10
11/8/2025,481.9,28%,0.10
11/9/2025,535.2,28%,0.11
11/10/2025,528.5,27%,0.11
11/11/2025,501.1,27%,0.10
11/12/2025,478.0,27%,0.10
11/13/2025,551.4,27%,0.11
11/14/2025,443.5,27%,0.09
11/15/2025,497.2,28%,0.10
11/16/2025,505.0,28%,0.10
11/17/2025,490.8,27%,0.10
11/18/2025,527.0,27%,0.11
11/19/2025,560.1,27%,0.11
11/20/2025,529.9,27%,0.11
11/21/2025,474.8,27%,0.10
11/22/2025,496.6,28%,0.10
11/23/2025,526.2,28%,0.11
11/24/2025,506.3,27%,0.10
11/25/2025,578.8,27%,0.12
11/26/2025,569.7,24%,0.12
11/27/2025,585.3,26%,0.12
11/28/2025,579.9,26%,0.12
11/29/2025,664.6,27%,0.14
11/30/2025,630.6,28%,0.13
12/1/2025,563.9,27%,0.12
12/2/2025,556.3,27%,0.11
12/3/2025,486.2,27%,0.10
12/4/2025,443.7,23%,0.09
12/5/2025,503.4,22%,0.10
12/6/2025,628.5,21%,0.13
12/7/2025,722.6,27%,0.15
12/8/2025,324.9,14%,0.07
12/9/2025,256.7,13%,0.05
12/10/2025,279.2,13%,0.06
12/11/2025,318.9,15%,0.07
12/12/2025,334.1,15%,0.07
12/13/2025,665.9,27%,0.14
12/14/2025,618.1,28%,0.13
12/15/2025,333.9,15%,0.07
12/16/2025,332.4,15%,0.07
12/17/2025,336.0,15%,0.07
12/18/2025,329.8,15%,0.07
12/19/2025,200.0,18%,0.04
12/20/2025,594.4,28%,0.12
12/21/2025,628.0,28%,0.13
12/22/2025,374.3,20%,0.08
12/23/2025,324.31,20%,0.07
12/24/2025,349.6,22%,0.07
12/25/2025,390.4,22%,0.08
12/26/2025,402.9,21%,0.08
12/27/2025,670.1,27%,0.14
12/28/2025,689.3,26%,0.14
12/29/2025,428.8,18%,0.09
12/30/2025,386.7,19%,0.08
12/31/2025,310.5,19%,0.06
1/1/2026,329.5,21%,0.07
1/2/2026,361.0,21%,0.07
1/3/2026,542.8,28%,0.11
1/4/2026,553.5,27%,0.11
1/5/2026,374.7,20%,0.08
1/6/2026,391.0,19%,0.08
1/7/2026,379.9,20%,0.08
1/8/2026,392.6,20%,0.08
Grand Total,"37,002.4",24%,
